id,user_id,class_key,name,type,price,qty,cur,created_at
04weguj,cHRmOndvcmxk,usaStock,GEV,,1094.99000000,0.06382700,996.00000000,2026-05-29 08:00:16.732036+00
09wup3w,cHRmOndvcmxk,usaStock,MSFT,,426.69000000,0.08188570,426.99000000,2026-05-29 08:00:16.732036+00
0toutjh,cHRmOndvcmxk,usaStock,STX,,417.74000000,0.11949780,880.72000000,2026-05-29 08:00:16.732036+00
0wlwa2k,cHRmOndvcmxk,etf,SMH,,385.54000000,0.12839000,599.83000000,2026-05-29 08:00:16.732036+00
114wgjj,cHRmOndvcmxk,usaStock,AMZN,,261.65000000,0.15099860,274.00000000,2026-05-29 08:00:16.732036+00
20aj2bw,cHRmOndvcmxk,usaStock,MSFT,,505.36000000,0.30896660,426.99000000,2026-05-29 08:00:16.732036+00
2d8btdj,cHRmOndvcmxk,gold,GOLD,,1992.78000000,0.01380000,4542.50000000,2026-05-29 08:00:16.732036+00
2f5s4er,cHRmOndvcmxk,crypto,BTCTHB,,2289650.00000000,0.00043565,2394243.00000000,2026-05-29 08:00:16.732036+00
4cbuwjc,cHRmOndvcmxk,usaStock,SNDK,,597.82000000,0.16700670,1641.64000000,2026-05-29 08:00:16.732036+00
4pp1exi,cHRmOndvcmxk,other,ประกันสะสมทรัพย์,Insurance,300000.03000000,1.00000000,300000.03000000,2026-05-29 08:00:16.732036+00
507hard,cHRmOndvcmxk,fund,ASP-S&P500-A,,56.36120000,88.71350000,69.87390000,2026-05-29 08:00:16.732036+00
5n15viv,cHRmOndvcmxk,etf,VOO,,622.08000000,0.08841000,693.91000000,2026-05-29 08:00:16.732036+00
5r2hnda,cHRmOndvcmxk,usaStock,JPM,,311.68000000,0.04500000,296.73000000,2026-05-29 08:00:16.732036+00
6chaq5z,cHRmOndvcmxk,usaStock,JPM,,296.61000000,0.13323000,296.73000000,2026-05-29 08:00:16.732036+00
6ed6188,cHRmOndvcmxk,etf,SMH,,402.22000000,0.10000000,599.83000000,2026-05-29 08:00:16.732036+00
6szuvjr,cHRmOndvcmxk,fund,A-SLVP,,11.79260000,158.91934840,11.06200000,2026-05-29 08:00:16.732036+00
6v881cq,cHRmOndvcmxk,fund,ONE-RAREEARTH,,11.90950000,251.89970000,12.75130000,2026-05-29 08:00:16.732036+00
6wb1a8j,cHRmOndvcmxk,usaStock,AAPL,,182.13000000,0.31455550,312.51000000,2026-05-29 08:00:16.732036+00
79kq90u,cHRmOndvcmxk,fund,ES-GTECH,,31.76640000,31.47980000,38.86770000,2026-05-29 08:00:16.732036+00
7et0pcw,cHRmOndvcmxk,etf,VOO,,639.07000000,0.07510000,693.91000000,2026-05-29 08:00:16.732036+00
8bfsbxw,cHRmOndvcmxk,usaStock,AAOI,,184.79000000,0.45921900,169.02000000,2026-05-29 08:00:16.732036+00
8ds7ikt,cHRmOndvcmxk,usaStock,ONDS,,10.30000000,3.00000000,13.25000000,2026-05-29 08:00:16.732036+00
8ha573t,cHRmOndvcmxk,usaStock,NOK,,13.25000000,3.95597730,15.28000000,2026-05-29 08:00:16.732036+00
8snktxy,cHRmOndvcmxk,crypto,ETHTHB,,142510.71000000,0.00840624,65437.00000000,2026-05-29 08:00:16.732036+00
8vzmcqb,cHRmOndvcmxk,etf,VOO,,633.32000000,0.15000000,693.91000000,2026-05-29 08:00:16.732036+00
91zmt50,cHRmOndvcmxk,fund,TLNDQINCOME-UH-X,,10.07130000,248.23010000,10.82160000,2026-05-29 08:00:16.732036+00
9zi4v06,cHRmOndvcmxk,thaiStock,KKP,,72.00000000,100.00000000,88.25000000,2026-05-29 08:00:16.732036+00
b2sxv0k,cHRmOndvcmxk,gold,GOLD,,5068.57000000,0.01435900,4542.50000000,2026-05-29 08:00:16.732036+00
blqel0q,cHRmOndvcmxk,usaStock,GOOGL,,246.85000000,0.18675000,390.13000000,2026-05-29 08:00:16.732036+00
c9vbka6,cHRmOndvcmxk,crypto,BTCTHB,,3701800.92000000,0.00021464,2394243.00000000,2026-05-29 08:00:16.732036+00
cdznt8u,cHRmOndvcmxk,gold,GOLD,,2877.45000000,0.05090000,4542.50000000,2026-05-29 08:00:16.732036+00
cqj1c8o,cHRmOndvcmxk,etf,QQQM,,252.33000000,0.20107950,302.85000000,2026-05-29 08:00:16.732036+00
czsykmq,cHRmOndvcmxk,etf,VOO,,609.72000000,0.02200000,693.91000000,2026-05-29 08:00:16.732036+00
dcm9ie9,cHRmOndvcmxk,fund,ES-GTECH,,36.94910000,27.06425867,38.86770000,2026-05-29 08:00:16.732036+00
dnh7f40,cHRmOndvcmxk,fund,PRINCIPAL GCLOUD-A,,4.83270000,310.38549879,4.82660000,2026-05-29 08:00:16.732036+00
e3n720a,cHRmOndvcmxk,usaStock,XOM,,153.53000000,0.97539370,146.96000000,2026-05-29 08:00:16.732036+00
elaa80q,cHRmOndvcmxk,usaStock,XBI,,124.12000000,0.72311380,135.99000000,2026-05-29 08:00:16.732036+00
fhrzx6p,cHRmOndvcmxk,usaStock,TSM,,237.19000000,0.21080000,424.86000000,2026-05-29 08:00:16.732036+00
g3dac1e,cHRmOndvcmxk,usaStock,RBRK,,56.12000000,0.80054870,70.32000000,2026-05-29 08:00:16.732036+00
gmk2bcl,cHRmOndvcmxk,usaStock,PRME,,2.94000000,10.23469380,3.40000000,2026-05-29 08:00:16.732036+00
gpvcjqz,cHRmOndvcmxk,usaStock,GOOGL,,176.49000000,0.04833180,390.13000000,2026-05-29 08:00:16.732036+00
h5nv7bv,cHRmOndvcmxk,thaiStock,SCB,,98.50000000,100.00000000,135.00000000,2026-05-29 08:00:16.732036+00
he740vo,cHRmOndvcmxk,usaStock,UNH,,286.08000000,0.34898300,382.53000000,2026-05-29 08:00:16.732036+00
hw51un8,cHRmOndvcmxk,usaStock,AAPL,,183.93000000,0.33812140,312.51000000,2026-05-29 08:00:16.732036+00
i0bqtqh,cHRmOndvcmxk,crypto,BTCTHB,,3681286.04000000,0.00027164,2394243.00000000,2026-05-29 08:00:16.732036+00
i7nglcm,cHRmOndvcmxk,crypto,SOL,,2836.48000000,0.70333300,2675.44000000,2026-05-29 08:00:16.732036+00
iembfqq,cHRmOndvcmxk,etf,VOO,,627.61000000,0.07648000,693.91000000,2026-05-29 08:00:16.732036+00
irr4ezu,cHRmOndvcmxk,usaStock,AMZN,,231.75000000,0.21540630,274.00000000,2026-05-29 08:00:16.732036+00
j8ktfqh,cHRmOndvcmxk,etf,QQQM,,234.18000000,0.65173200,302.85000000,2026-05-29 08:00:16.732036+00
jl67ih1,cHRmOndvcmxk,other,CPALL245B,Debenture,5000.00000000,1.00000000,5000.00000000,2026-05-29 08:00:16.732036+00
jy1ei8s,cHRmOndvcmxk,usaStock,STX,,445.09000000,0.09137310,880.72000000,2026-05-29 08:00:16.732036+00
ka9spqp,cHRmOndvcmxk,gold,GOLD,,3312.04000000,0.00080000,4542.50000000,2026-05-29 08:00:16.732036+00
l44i0im,cHRmOndvcmxk,fund,ASP-S&P500-A,,57.76680000,86.55490000,69.87390000,2026-05-29 08:00:16.732036+00
len5xk9,cHRmOndvcmxk,other,MTC286A,Debenture,100000.00000000,1.00000000,100000.00000000,2026-05-29 08:00:16.732036+00
miat3qo,cHRmOndvcmxk,usaStock,MRVL,,197.46000000,0.19942870,204.83000000,2026-05-29 08:00:16.732036+00
mlgpv9v,cHRmOndvcmxk,other,SB348B,Bond,50000.00000000,1.00000000,50000.00000000,2026-05-29 08:00:16.732036+00
mrh9c7w,cHRmOndvcmxk,fund,A-GRID,,10.30260000,252.32390310,11.02880000,2026-05-29 08:00:16.732036+00
nhyqxlm,cHRmOndvcmxk,fund,TEMxCH,,12.90190000,155.01590000,16.59840000,2026-05-29 08:00:16.732036+00
nwdibjo,cHRmOndvcmxk,usaStock,ASTS,,83.24000000,0.18559000,133.09000000,2026-05-29 08:00:16.732036+00
o9k48wb,cHRmOndvcmxk,usaStock,GOOGL,,240.08000000,0.41585440,390.13000000,2026-05-29 08:00:16.732036+00
ol5u2r0,cHRmOndvcmxk,usaStock,AMZN,,232.56000000,0.42930110,274.00000000,2026-05-29 08:00:16.732036+00
pyq4uam,cHRmOndvcmxk,gold,GOLD,,4791.96000000,0.00021200,4542.50000000,2026-05-29 08:00:16.732036+00
qegiyju,cHRmOndvcmxk,other,Provident Fund,Provident Fund,68426.28000000,1.00000000,69527.77000000,2026-05-29 08:00:16.732036+00
qfskan8,cHRmOndvcmxk,other,BCP26NB,Debenture,10000.00000000,1.00000000,10000.00000000,2026-05-29 08:00:16.732036+00
rcnay8w,cHRmOndvcmxk,fund,K-GOLD-A(A),,27.06060000,15.14970000,23.07610000,2026-05-29 08:00:16.732036+00
rk8kyso,cHRmOndvcmxk,fund,DAOL-DEFENSE,,17.07160000,146.44200000,14.59980000,2026-05-29 08:00:16.732036+00
rlxwkgj,cHRmOndvcmxk,gold,GOLD,,3289.35000000,0.01840000,4542.50000000,2026-05-29 08:00:16.732036+00
rsg7ltw,cHRmOndvcmxk,fund,SCBSEMI(A),,23.51580000,224.47980000,36.62590000,2026-05-29 08:00:16.732036+00
sk06ytc,cHRmOndvcmxk,usaStock,AAPL,,268.15000000,0.11168950,312.51000000,2026-05-29 08:00:16.732036+00
t20t2wp,cHRmOndvcmxk,gold,GOLD,,3230.55000000,0.00460000,4542.50000000,2026-05-29 08:00:16.732036+00
t9qa1fs,cHRmOndvcmxk,crypto,BTCTHB,,2787022.53000000,0.00071581,2394243.00000000,2026-05-29 08:00:16.732036+00
up0j6mf,cHRmOndvcmxk,usaStock,JNJ,,175.61000000,0.28472000,230.80000000,2026-05-29 08:00:16.732036+00
uvgzwfn,cHRmOndvcmxk,usaStock,RKLB,,66.61000000,0.64750000,148.03000000,2026-05-29 08:00:16.732036+00
w098hs1,cHRmOndvcmxk,gold,GOLD,,3857.46000000,0.01590000,4542.50000000,2026-05-29 08:00:16.732036+00
wx4traz,cHRmOndvcmxk,fund,ES-GTECH,,20.32080000,98.42130000,38.86770000,2026-05-29 08:00:16.732036+00
x5wts97,cHRmOndvcmxk,usaStock,LITE,,973.31000000,0.07693300,860.62000000,2026-05-29 08:00:16.732036+00
xrbnc4n,cHRmOndvcmxk,usaStock,GOOGL,,331.52000000,0.23383060,390.13000000,2026-05-29 08:00:16.732036+00
xyya778,cHRmOndvcmxk,other,GULF298A,Debenture,5000.00000000,1.00000000,5000.00000000,2026-05-29 08:00:16.732036+00
ye9l93i,cHRmOndvcmxk,thaiStock,SCB,,117.50000000,100.00000000,135.00000000,2026-05-29 08:00:16.732036+00
yv53dsn,cHRmOndvcmxk,usaStock,WMT,,127.88000000,1.17106120,118.90000000,2026-05-29 08:00:16.732036+00
z53adw9,cHRmOndvcmxk,fund,DAOL-KOREAEQ,,14.57690000,102.90250000,23.23160000,2026-05-29 08:00:16.732036+00
z75dk9k,cHRmOndvcmxk,other,BCP292A,Debenture,40000.00000000,1.00000000,40000.00000000,2026-05-29 08:00:16.732036+00
zxfazyz,cHRmOndvcmxk,etf,VOO,,613.41000000,0.01829000,693.91000000,2026-05-29 08:00:16.732036+00
